"","gene","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"11","OASL",0.199197943978658,0.0265061898154281,0.0325306505392712,-0.122204277504057,-0.183071207145959,-0.20746291695933,-0.177315504301179,-0.00880712422362437,0.0513959824922152,0.276414799307137,0.0945820647698039,0.248019777634539,-0.124520120622848,-0.406810787434594,0.0954294992732264,0.0625458527427984,-0.00704957663816698,-0.0689304466299471,-0.0763681377835116,-0.202733478758093,-0.191354405853619,0.245469738340965,0.176715650703721,0.0349693823627882,-0.103059837609734,0.222095854275133,-0.298293366898734,-0.0663909897973174,0.112841029226012,0.138325001709014,-0.0390356542693701,0.135977598893755,0.256669736669673,-0.099418450577195,-0.0610598208692566,-0.0108053839075783,0.0494020691631477,0.0943576550236104,-0.00968196745543262,0.0484195853961603,0.09938377266659,0.0392069386584434,-0.0307987075062096
"12","DDX60L",0.200917516893712,0.0829331296862132,-0.235901660755831,0.00764889257267884,0.0451438595732152,0.0701250710536428,0.109659290987147,-0.0720859989426948,0.0863093886618623,-0.0253278982039629,-0.065386790110204,0.032767507627609,0.143398043661076,0.0779391657827475,0.518671592046159,-0.198150704759251,0.213312596858815,0.00573378458795731,0.0008136393656712,0.0193737226062719,0.153029277150276,0.0808672241332208,0.106083457360472,0.0792132854354861,-0.210893800126802,0.0274471745178839,0.377862252433062,0.0692557363514748,0.0555805273457073,0.02523704345075,-0.0186290365390565,0.249114123684336,0.181889665947515,-0.101660497750635,0.148867467899228,-0.0642042568482373,0.00215362775728743,0.011168395794158,0.286648492670752,-0.0118614066506262,0.118553490757292,0.0725856291050005,0.0266541344088362
"13","GBP1",0.203998666229899,0.0467912657535085,0.0337906711190377,-0.00010495205815728,0.126709164043984,0.146142797458141,0.0944398786577979,-0.0941024394587237,-0.305442554628229,0.0494148926652851,-0.121241768121387,-0.0540310106777228,-0.199098918491771,-0.0540864946685218,-0.0490315925803848,0.0801026962917637,-0.142752366147183,0.159722912925247,-0.0243249776871328,-0.0277460991573766,-0.039834543221241,0.204420730313714,-0.162378745579352,-0.273143440981131,-0.0749625717176322,-0.066699122502242,0.0919450033711286,0.135299641349118,0.320089530101662,0.120368366295784,-0.159561614555433,0.176032687360001,-0.153376868813538,0.252207683417093,-0.235622036774607,-0.191457982855241,-0.262928058786535,-0.131594120903097,0.0834798459721124,0.19999055626326,0.0860289832393594,0.0924790114119083,-0.0680367458905761
"14","IFI44L",0.216999822611822,0.0699087729627517,0.00199569369279386,0.166651399747244,-0.17631400188502,-0.065809370982487,0.325353688126181,0.0840245296390175,-0.0200579650737722,0.0136652794133399,-0.0583868662697735,-0.0104940128556147,0.111668141830354,0.136323812702199,-0.121224437778516,0.0609469972067754,-0.0916625310131941,-0.0590653965931319,-0.00169707355522632,-0.0477164945101401,-0.0675532404534874,0.057310253401308,0.232754902952631,0.164420559904595,0.0522904557845179,-0.0986558366443317,0.0679950991756052,-0.100533054857583,-0.0360286864892638,0.0708008291845335,0.256004901792231,0.286871231533257,-0.0476259892171866,0.408320367140457,-0.178793214052133,-0.104868313434638,0.411069070548171,0.171519118088508,-0.0647004031437157,0.0134025450107634,-0.0647200596855909,-0.108874941211257,-0.054865625488108
"15","RPS8",0.0246181197174362,-0.298823415816313,-0.0130582138559743,-0.236172134561338,-0.0428852753813168,0.0120069587472218,0.155389683384936,-0.13096183673937,0.0271869232619615,0.0789559211221087,-0.370999791655568,-0.155389564598177,0.16502963242183,-0.108647962128677,0.0454284682920524,-0.0762307057304868,0.3661079709822,0.0376484957904683,0.0018121978059228,-0.199003652286975,0.157909518820389,-0.170415896467751,0.0526431172501488,-0.0121963054760887,0.155370243758596,-0.0340127796901429,-0.333691062363065,0.0335902898592297,-0.0351447850243975,0.112205811281136,-0.0758926238763088,0.136341706466218,-0.243107668734371,0.0429689625922577,0.150607737179671,-0.16214403100633,-0.0969791336639542,0.185923874827218,-0.12343628095998,0.0709486858435578,-0.0412498080341028,0.101976722144641,-0.0320574187301095
"16","YLPM1",0.0765564207239132,-0.116758735523998,-0.068567209857749,0.219008208053138,0.0637792235357419,-0.174712568614171,-0.0771367650047471,-0.0900716878392071,-0.0687721265739781,-0.0828378698917215,0.375421805162545,-0.246324762317192,-0.09713743742436,0.0394550451312874,0.177597003981045,-0.0226511044346441,-0.00640809891782338,-0.0135319261381626,0.0153411695039335,0.0787853328405052,0.0136238529785379,-0.0771690986043632,0.0946338772429357,0.50837646669228,-0.00780057207092887,-0.220583061214955,-0.20621585446213,-0.114959266253367,0.146142345969236,0.082070484124834,-0.0227469367317389,-0.0161656257104835,-0.117031958503934,-0.0924030638743698,-0.199879543996899,-0.259305286946748,-0.249127726472329,0.00861840272884933,0.0336271981854298,-0.0178001773681444,-0.107702679256591,0.0664132907187086,-0.0191604111340503
"17","OAS3",0.222345107933918,0.0340899864892453,0.0262997520951554,-0.0101448646691018,-0.206913719557812,-0.228527315027375,0.132001211489443,0.0487032719993773,-0.00757526824245103,0.0153201278217895,-0.0402103748587013,-0.089742315662326,-0.140334985110584,0.105426820858118,-0.0516480797645866,0.145987655569961,-0.113747931110832,-0.21084309627282,0.112275052217853,0.139124794238528,0.00646790078923598,0.104975076386803,-0.0111185237141275,-0.0412104776375633,0.0406360053482573,-0.0624074328581113,0.115909024918971,-0.235629413433487,0.116665343496279,0.0470666463087625,-0.110970012844574,-0.002275886695912,-0.310496827563867,-0.118546711995931,0.303957593171208,0.290331165558383,-0.232813297936303,0.326602744923012,0.0324216382751263,-0.110936037661611,0.289377754326971,-0.00656360981685178,0.137761937333175
"18","RPLP0",0.0537707640709516,-0.303120788580944,0.0110604074838443,-0.203152268317955,-0.104933207750865,-0.0857957012632162,-0.00165556826776444,-0.0554589809442841,0.221315531022002,-0.0878275683730412,0.0812005434374625,-0.0563953887515679,-0.111939592204504,-0.0547174559702931,0.155843907892334,0.193235543411905,-0.0394836667798952,0.177593848127151,-0.185600996984827,0.0312406356698748,0.127712244751742,0.0433734905158645,0.261383843728086,0.00621435038106,-0.0885134522462089,0.0708531615004185,0.120687521472154,0.0651232669032873,-0.253783795907022,0.0552275723593034,-0.0696296353825801,0.00794974285360819,-0.247848495367114,0.174983955111913,-0.258107697667531,0.439556924924137,-0.0610977854932889,-0.225847284681175,0.118186779276259,0.0415877024065427,-0.120412897964458,-0.0329933923857689,-0.0419082717025627
"19","SP110",0.160563241171011,-0.00251259281348113,-0.115826498899294,-0.0449391008663367,0.135478987861423,0.0197591687975228,-0.384985008108616,0.356836016763014,0.251080976509159,-0.22391774594065,-0.0784103989782298,-0.107220454888866,-0.0632944682531877,0.142944601664716,0.118828249960106,-0.0211929223369234,-0.0733993447562212,0.0472422514257517,-0.00722303460756901,-0.228625844563286,0.0925209884444145,-0.126002659122289,0.0896719040163134,-0.202383789153964,0.290784386592794,-0.0777173986872707,-0.0714166727302629,-0.293977924357927,0.285692438279668,0.0233821555177031,-0.111122569038589,-0.00788158151313838,0.122783171774688,0.207914694306998,-0.0166532729903199,0.020813731907189,0.0857179711205247,-0.0190501469894164,0.056237293546498,-0.0862186173691615,0.0363508089791958,0.0529094981682195,-0.0560071610306275
"20","CXCL11",0.179684735067556,0.0383263341194602,0.425448654525503,-0.0116001564844119,0.174116645671887,-0.00292205015121177,-0.261490760624573,-0.187772725366978,0.125475005949613,-0.0325525236915448,-0.0927375261507717,0.058324001785326,0.0399679580003068,-0.358858413985863,-0.104242756549314,-0.267177703583832,-0.00632898495827824,-0.00982910565335227,0.179737194727414,-0.0632328349570083,-0.133027237014913,-0.0885331358860124,0.0893232829528978,0.150594110894082,-0.0869735493419733,-0.349303759211258,0.312733768076455,-0.10102293573798,-0.0891435840934944,-0.0757540522565147,-0.108753196559272,0.060654247053273,-0.115884900088847,0.0922294621689815,0.0954794505989038,0.0192976486734862,0.0308763797430918,-0.0665495653288133,-0.108200794992388,0.00239681784980435,0.0222927335259024,-0.035764782182317,-0.0021165835612537
"21","RACK1",0.0821621414062065,-0.253553052122025,0.000355750368143475,-0.0285427845964376,0.0100585793854157,-0.0955319896403996,0.146483978261145,0.0551138560820174,0.221778882749832,0.0793470518438096,0.0855246023900313,0.046457940885252,-0.0948870619975618,-0.103976833689633,0.00207814319270561,-0.182231302138736,-0.0712007145775971,0.126378126951415,-0.0293825571115742,0.114769690434098,0.0298882034735315,0.0453033492123691,-0.0948693529051832,-0.167761126928476,-0.234604183135119,-0.0852142196787661,-0.0341639894720747,-0.082561697601593,0.151872422952595,0.130765101369081,0.14731066941174,-0.413278562491126,-0.0213077871567365,0.152096577207861,0.249849252684968,-0.224244282522226,0.107439244380228,0.0946249604849039,0.252562388405743,0.195024571100385,-0.209480033551929,-0.269707744016236,0.151937906355533
"22","EEF1A1",0.0678245048806967,-0.215136846492149,-0.016415704001702,0.033239264666965,0.0697298449427659,0.0574979003811933,0.0466617110843984,0.0540437254071875,-0.00916267734842004,-0.0348969676423105,-0.0373605967888293,0.00202882762936216,-0.152230055982461,-0.0662880687755784,-0.12505712879082,-0.0492354229325899,-0.116547467745512,-0.251913607733953,-0.0452216449235081,0.0718455171003573,0.0696943160051346,-0.0982254945050544,-0.0595014851715119,0.00584178523684123,-0.247064292709453,-0.00346560686058095,0.0186175808108102,0.023698267637117,-0.030023351929773,0.0864127691913022,0.108121910502988,-0.0411620618202459,0.129988764900083,0.117649050343556,0.0404112230968651,0.0842201724248273,0.103083302523177,0.0518317739096987,-0.0279021563338452,-0.110992515285175,-0.131642089149396,0.776281062800548,0.119500195170782
"23","HERC5",0.182737616915543,0.0474046932203516,-0.0684748946733956,0.0162596808825048,-0.10563015767027,0.252815784672357,0.122107159744861,-0.0594333876934386,0.201953404440197,-0.49190358869773,0.0166848346154554,0.178042364187986,0.158558978554295,-0.142747518902944,0.0298638927686062,0.368527413703766,0.0403992356427765,-0.045302191448121,0.298061003250165,0.0663814635794499,-0.133043933659844,0.180338626880055,-0.150342654488963,-0.0031171254665206,-0.0387919739816825,-0.132586887266216,-0.277545283205301,-0.0765276230317728,-0.189670028235156,-0.0615832610335045,-0.0923911626900874,-0.0195694283997455,0.0321140563898446,0.0211978205330312,0.0542253124168053,-0.105721577655463,-0.0390646600357966,-0.0954814612112056,0.130167535388962,0.0346583828450637,-0.0195248718301512,0.0589529654235982,0.0164153957279747
"24","LCP2",0.167058391715738,0.0101315052624122,-0.23821073263663,-0.183588149266166,0.362747036799631,-0.150203868369342,0.0408437568146614,0.105602143848661,-0.234718595395774,-0.0183204912491394,0.213404452623233,0.0265308962389566,0.0963170624114104,-0.211420692255611,0.0219912306221717,0.152582872527546,0.2011963770977,-0.129566986686492,0.12037520465525,-0.132589147750448,0.03275467241144,-0.129926211974733,-0.187659933207415,-0.111195920531417,-0.132826432143019,0.261048620209552,0.216618679554234,-0.296255634780898,-0.140141018359949,-0.0466242175914508,0.0284039590088213,-0.0771022678570678,-0.197070087768209,0.0185801549793569,-0.181159810693609,-0.0810460257737556,0.0638939461050164,0.095822384073728,-0.128433059149994,-0.0885147707272434,-0.0857492244307325,-0.0872727049191976,-0.010411366013396
"25","WDR78",0.0623661681611634,-0.1660762935683,-0.0206363985904049,0.38234810427883,-0.0384230861042887,-0.0362967568993391,-0.148471794202287,-0.292302093918848,-0.0741678159964124,-0.248746457811388,-0.228726577919573,0.0536942636142561,0.152791498742302,-0.105019346842154,0.0636563964807631,0.0656227288830387,-0.181012954919688,-0.0248235405935861,0.0151470624730718,-0.0992655182694683,-0.167312126835847,-0.259183562021358,0.0433585551098228,-0.0644256234366784,0.116095214900366,0.324178679285411,0.12247669817108,0.0799913695985495,0.0619114259705277,0.39158120412817,0.221492037341362,-0.14453329046235,-0.0580929215589524,-0.0889393178127806,-0.0291438924799479,0.0093043272150587,-0.0354267907068651,0.0134493312521149,0.0766915976892356,-0.0521172383920187,0.079347257725355,-0.0738714860561459,0.0238407956948013
"26","CBX5",0.0877975880074807,-0.140661214152045,-0.0771638500976798,0.34976516148628,0.0909226423431534,-0.0736448928162882,0.14250389082696,0.0403018215417629,0.0100297942762898,0.189770492338872,0.0625985517156092,0.0815053822712107,-0.408984120332752,0.0516549645573089,0.129947202713653,-0.0462014776208202,0.1777735261699,-0.0136881301921928,0.119645068007783,-0.199399725433714,-0.17291681326053,0.0628226280556836,-0.112482311556552,0.00307180307308633,0.356764596710071,0.00264648830124848,0.0711642811108148,0.122125984587603,-0.383993858050898,0.0450021023250241,-0.225287953198921,-0.0784816724255064,0.0994994934126199,0.194051027522764,0.145353704472882,-0.0196444039789927,-0.0194829907548876,-0.0949057356521561,-0.0182441383633957,-0.0532095401780971,0.0181642558920969,-0.00431134428293397,0.070432082550162
"27","RPS3A",0.0299367061986997,-0.265757832164921,0.00148914283992333,-0.0350676447334971,0.00302846884191269,0.470843433414365,-0.00115037789148703,-0.0433256230873139,-0.301300894714492,-0.0822740060813148,0.0510846172978965,0.281258378295124,-0.146929560467163,0.0796078698032106,0.0683829102046981,-0.222443913157958,0.113694401624672,-0.113249246062381,0.0251003664320225,0.258091179963177,-0.115853262815301,-0.0335894196712652,0.177693668325376,0.127850185711927,0.0056201806043189,0.211747258419412,-0.106621008906137,-0.225311180811586,0.199278699333549,-0.0719209089275572,-0.0951484454766329,0.0307668610071308,-0.006868844131172,0.163471194997239,0.0909551969068148,0.196547015328222,-0.00586307302068562,0.0122558622419739,-0.114506762656368,-0.0223590859966617,-0.0613569150035107,-0.179253360601339,-0.0399602214427375
"28","DIAPH2",0.0721299056758026,-0.121916407080271,-0.0427307032603957,0.334008031564305,-0.0459951655527919,-0.157112491757795,-0.245273871746,-0.0406856668661887,-0.414066462324385,-0.152455805324116,0.0129611737174067,-0.157526615560693,0.0537943743162991,-0.114081146847197,0.0556745851383489,0.0754119628246806,0.0671665249506678,0.0593612017906482,-0.133017895223913,0.0982451484335106,0.196417788479309,0.0590181318537253,0.184768475334497,-0.292416030402078,-0.188516118842043,-0.166501118844061,-0.156019362436175,0.100476463836753,-0.146350398449444,-0.267793239575596,-0.174547190927167,-0.0047815945235371,0.0651986313805748,0.0308257778593856,0.125269461565027,0.0281397834964059,0.243095860584419,0.138527003770323,-0.0189515074319926,0.0585406851998587,0.0769721819809293,-0.0631335778863683,0.0385062377558971
