"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC007000.3",0.805451984404022,0.0809897212751124,1.64008553405274,0.0493814009047336,0.960615350004964,NA
"AC007040.2",2.09893836710321,-1.12595874112296,1.21630142175576,-0.925723444027232,0.354589721084119,NA
"AC007068.1",3.63440385952868,-1.81061207290489,1.22043236027442,-1.4835824842417,0.137919719033719,NA
"AC007192.1",12.8850017470116,-0.550427757491544,0.859042936745731,-0.640745338733244,0.521688151992263,NA
"AC007318.1",2.22318450027871,1.25978560301086,2.37615559482324,0.530178076619,0.595988469785195,NA
"AC007325.1",0.684834880094601,0.26540545870231,2.71415020048403,0.0977858405385887,0.922102351107298,NA
"AC007325.2",2.73405598504921,-0.646306921462488,1.3829676682462,-0.467333355870927,0.640261395342749,NA
"AC007325.4",2.13130868582897,2.34439662187603,2.49495510995037,0.939654830872955,0.347394641345504,NA
"AC007342.3",7.60295507807028,-0.345602311706991,1.09253424644563,-0.316330872767924,0.751751380259754,NA
"AC007424.1",2.21064205889715,1.9123751671615,1.54124454373011,1.24079931049305,0.214679896027123,NA
"AC007906.2",121.945294537049,1.00907696112653,0.50732274252155,1.98902370532634,0.0466985865011066,0.250938819538022
"AC008013.2",4.36843443655315,1.13974452433258,1.06869615662818,1.06648135418449,0.28620610306684,NA
"AC008038.1",3.78069601504976,2.2099221640136,1.88434420072773,1.17278051598012,0.240883833460431,NA
"AC008072.1",12.3422668318054,-0.606803717151415,1.04109280669025,-0.582852665249424,0.559992487952533,NA
"AC008073.3",1.16462470595809,-0.699474031281335,1.52830092263973,-0.457680827721535,0.647181764095026,NA
"AC008132.1",7.23850827651777,0.0245880399372497,1.15079829663718,0.0213660725855261,0.982953637538693,NA
"AC008163.1",2.61834732812254,1.22690105211404,1.83476275412406,0.668697383002947,0.503688537249999,NA
"AC008267.2",2.13271895398291,0.362440690335746,1.19165195697048,0.304149788212637,0.76101377689346,NA
"AC008565.1",7.95467278859908,-0.663968781241454,1.2429128248633,-0.534203821828358,0.593200525248739,NA
"AC008567.1",1.01743737909741,-1.30842172693729,1.45594219234001,-0.898676976202183,0.368824744068223,NA
"AC008575.1",1.24710606247695,0.748791034439226,2.10036492844381,0.356505207404132,0.721462253001771,NA
"AC008695.1",1.3534950756148,-3.13258101474457,3.44758845677121,-0.908629627353593,0.363545662123432,NA
"AC008752.4",1.90896715207318,1.88815454072894,1.27900637249083,1.47626671871213,0.139872304880631,NA
"AC008758.1",7.03767544007433,-0.221573483064666,0.838763748733905,-0.264166737533813,0.791651440510631,NA
"AC008763.2",2.39028626642874,1.55125280662453,1.22858840737601,1.26263018380391,0.206722115181531,NA
"AC008770.2",0.835361823616492,2.14427774387547,1.67575179464437,1.27959149483145,0.200688842641084,NA
"AC008878.3",6.90890120166083,-0.00181429096262387,1.22680032806038,-0.00147888040223493,0.998820024589901,NA
"AC008982.1",3.32940883318891,-0.429904199572884,0.861279277727844,-0.499146108225223,0.617676457121471,NA
"AC008982.3",3.32940883318891,-0.429904199572884,0.861279277727844,-0.499146108225223,0.617676457121471,NA
"AC009053.2",6.01345598489603,-0.613874479164194,0.935860534375119,-0.655946539698977,0.511858522188707,NA
"AC009093.3",7.02116115386523,1.44190454017158,0.851741044378561,1.6928907555742,0.090476263286337,NA
"AC009133.6",1.29896778734932,-1.99256249596151,1.59819399629565,-1.24675884190526,0.212485936054911,NA
"AC009220.2",1.40609320079062,-0.239392661734921,1.45272756627082,-0.164788407195609,0.869110529012523,NA
"AC009237.3",4.43642295636575,0.924534369372955,0.957482301589485,0.965588990875514,0.334249886334438,NA
"AC009299.1",27.8445986899477,-1.15795930749938,1.25164835022705,-0.925147472362606,0.354889202306148,NA
